brood.yr,Sp,Rec,PDO.t2,PDO.t3
1948,392885,1029718,-1.60,-1.17
1949,34191,342512,-1.11,-0.74
1950,7493,130101,-0.69,-0.33
1951,58134,487779,-0.30,-0.85
1952,261329,1099194,-0.80,-0.58
1953,109341,369722,-0.54,-2.16
1954,21837,409746,-2.07,-0.55
1955,80589,872710,-0.51,0.54
1956,386381,1405218,0.55,-0.01
1957,83512,83996,0.02,0.39
1958,70504,258631,0.40,0.72
1959,273383,1192688,0.72,-0.97
1960,247337,598591,-0.92,-0.11
1961,23586,43168,-0.08,-0.12
1962,49501,533978,-0.09,-0.52
1963,543272,680849,-0.47,-0.45
1964,134495,1184690,-0.41,-0.28
1965,23041,91811,-0.24,-0.30
1966,114698,469294,-0.27,-0.62
1967,102152,1242562,-0.58,0.92
1968,240624,1441230,0.92,-1.42
1969,42411,223847,-1.35,-1.60
1970,71905,441711,-1.52,-0.28
1971,99466,340128,-0.24,-0.94
1972,336715,1130916,-0.89,-0.42
1973,30889,118356,-0.39,-1.00
1974,72994,338550,-0.94,1.26
1975,118054,964001,1.25,1.15
1976,215328,1027029,1.15,-0.29
1977,28868,120714,-0.25,0.90
1978,83133,709783,0.90,1.13
1979,154223,884713,1.12,0.42
1980,298375,2014581,0.44,1.36
1981,21441,99694,1.35,1.57
1982,140466,870846,1.54,1.05
1983,190530,918701,1.04,1.70
1984,228693,235486,1.67,1.95
1985,35062,397741,1.91,1.29
1986,168847,2632499,1.28,-0.65
