brood.yr,Sp,Rec,PDO.t2,PDO.t3
1952,5970,17310,-0.61,-0.61
1953,320,520,-1.48,-2.66
1954,240,750,-2.05,-1.26
1955,250,1280,0.01,0.11
1956,9443,39036,0.86,0.37
1957,2843,4091,-0.25,0.29
1958,535,289,0.26,0.59
1959,680,547,0.12,-1.71
1960,14630,55259,-1.15,-0.48
1961,3706,3503,-0.53,-0.43
1962,2581,5357,-1.27,-1.31
1963,339,1120,0.00,-0.26
1964,957,5751,-0.59,-0.23
1965,24326,45026,-1.11,-0.58
1966,3775,6262,-0.62,-1.16
1967,3216,1527,-0.38,0.81
1968,2557,543,0.42,-1.54
1969,8394,5304,-1.61,-1.90
1970,13935,15834,-1.77,-0.47
1971,2387,2829,-0.65,-1.21
1972,1010,1941,-0.57,-0.56
1973,227,2457,-0.94,-1.53
1974,4434,26179,-0.84,1.33
1975,13140,38087,0.44,0.37
1976,1965,10575,1.18,-0.78
1977,1341,3238,0.76,0.26
1978,4149,5160,1.26,0.65
1979,11218,42142,1.40,0.40
1980,22505,13048,-0.19,0.65
1981,1754,2129,1.93,1.47
1982,1135,1685,1.53,1.01
1983,3570,13392,0.25,1.04
1984,10491,23913,1.63,1.80
1985,7211,17337,2.04,1.15
1986,1179,4563,1.19,-0.80
1987,6066,12030,-0.23,-0.39
1988,4065,9922,0.03,-1.81
1989,8320,2541,-0.75,0.15
