"Year","Value"
188001,-0.0253
188002,-0.2933
188003,-0.3149
188004,-0.0883
188005,0.0133
188006,-0.0772
188007,-0.1693
188008,-0.1825
188009,-0.1878
188010,-0.3146
188011,-0.5476
188012,-0.1837
188101,-0.0102
188102,-0.0549
188103,-0.0212
188104,0.041
188105,-0.01
188106,-0.1287
188107,-0.0364
188108,-0.0402
188109,-0.2767
188110,-0.4127
188111,-0.4469
188112,-0.1769
188201,0.1348
188202,2e-04
188203,0.0185
188204,-0.3542
188205,-0.2951
188206,-0.2258
188207,-0.1292
188208,0.0248
188209,0.0397
188210,-0.4305
188211,-0.2334
188212,-0.2513
188301,-0.5697
188302,-0.5498
188303,-0.2296
188304,-0.3134
188305,-0.2088
188306,-0.0524
188307,-0.1258
188308,-0.1088
188309,-0.1971
188310,-0.2245
188311,-0.3021
188312,-0.052
188401,-0.153
188402,-0.2158
188403,-0.4066
188404,-0.3265
188405,-0.1598
188406,-0.2624
188407,-0.4162
188408,-0.4352
188409,-0.392
188410,-0.286
188411,-0.4393
188412,-0.1698
188501,-0.7172
188502,-0.3694
188503,-0.0859
188504,-0.3088
188505,-0.3283
188506,-0.3645
188507,-0.2894
188508,-0.3749
188509,-0.2645
188510,-0.1544
188511,-0.0946
188512,0.1688
188601,-0.1126
188602,-0.3721
188603,-0.3897
188604,-0.1859
188605,-0.2091
188606,-0.2642
188607,-0.1817
188608,-0.3262
188609,-0.3101
188610,-0.2726
188611,-0.2477
188612,-0.0425
188701,-0.5679
188702,-0.4483
188703,-0.1149
188704,-0.1349
188705,-0.1996
188706,-0.1978
188707,-0.2966
188708,-0.4148
188709,-0.1078
188710,-0.3897
188711,-0.0599
188712,-0.1078
188801,-0.4854
188802,-0.3741
188803,-0.333
188804,-0.102
188805,-0.0956
188806,0.04
188807,0.0169
188808,-0.1788
188809,-0.0441
188810,0.0217
188811,-0.1667
188812,-0.0071
188901,-0.2437
188902,0.0265
188903,0.1323
188904,0.115
188905,-0.0742
188906,-0.0822
188907,-0.1684
188908,-0.1074
188909,-0.2886
188910,-0.3236
188911,-0.5434
188912,-0.3029
189001,-0.4939
189002,-0.5686
189003,-0.3203
189004,-0.1566
189005,-0.4405
189006,-0.2841
189007,-0.2705
189008,-0.3986
189009,-0.4109
189010,-0.2857
189011,-0.4327
189012,-0.3055
189101,-0.556
189102,-0.8229
189103,-0.2471
189104,-0.282
189105,-0.1916
189106,-0.2103
189107,-0.1787
189108,-0.1648
189109,-0.029
189110,-0.3694
189111,-0.5822
189112,0.0533
189201,-0.3197
189202,-0.2016
189203,-0.4546
189204,-0.374
189205,-0.381
189206,-0.2674
189207,-0.3367
189208,-0.3279
